"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","52057","12078283","3.48","150","6.24","0.77","690.38","5600.14","431000","100","20250512","4695","20250407","3615"
"130A","Veritas_In_Silico","東証GR","医薬品","4333","6487114","0","0","25.79","2.04","25.9","328.19","66800","100","20250106","957","20250407","591"
"1332","ニッスイ","東証PR","水産・農林","259223","312430277","3.37","28","10.32","0.93","80.43","891.31","82970","100","20250324","947","20250407","795"
"1333","マルハニチロ","東証PR","水産・農林","150523","50578837","3.7","110","8.57","0.65","347.44","4557.73","297600","100","20250423","3384","20250117","2874"
"135A","VRAIN_Solution","東証GR","情報通信","23051","10110000","0","0","39.07","16.21","58.36","140.66","228000","100","20250418","2800","20250407","1481"
"1375","ユキグニファクトリー","東証PR","水産・農林","42545","39910700","1.5","16","21.16","3.44","50.37","309.98","106600","100","20250217","1239","20250407","991"
"1376","カネコ種苗","東証ST","水産・農林","16576","11772626","2.7","38","13.18","0.65","106.84","2168.4","140800","100","20250124","1440","20250407","1310"
"1377","サカタのタネ","東証PR","水産・農林","154316","46410750","1.95","65","16.17","0.88","205.66","3761.02","332500","100","20250130","3705","20250407","3035"
"1379","ホクト","東証PR","水産・農林","59212","33359040","-","-","12.78","0.98","138.84","1817.38","177500","100","20250219","1950","20250407","1690"
"137A","Cocolive","東証GR","情報通信","3921","2970500","0","0","21.17","4.77","62.35","276.69","132000","100","20250417","1575","20250407","855"
"1380","秋川牧園","東証ST","水産・農林","4095","4179000","1.02","10","58.37","1.87","16.79","523.35","98000","100","20250422","1250","20250408","931"
"1381","アクシーズ","東証ST","水産・農林","17105","5617500","3.23","98.5","14.25","0.81","213.69","3742.71","304500","100","20250404","3300","20250407","2550"
"1382","ホーブ","東証ST","水産・農林","1316","762000","2.9","50","30.58","1.7","56.48","1016.98","172700","100","20250326","2100","20250407","1480"
"1383","ベルグアース","東証ST","水産・農林","4644","1613580","0.35","10","30.65","2.59","93.91","1111.23","287800","100","20250424","3930","20250513","2830"
"1384","ホクリヨウ","東証ST","水産・農林","12088","8459000","3.5","50","8.17","0.85","174.96","1673.22","142900","100","20250418","1736","20250117","1190"
"138A","光フードサービス","東証GR","小売","1950","992000","2.03","40","18.4","1.58","106.85","1242.94","196600","100","20250114","2500","20250407","1471"
"1401","エムビーエス","東証GR","建設","6626","7732000","1.52","13","13.89","1.71","61.7","502.35","85700","100","20250508","890","20250409","578"
"1407","ウエストホールディングス","東証ST","建設","72263","46027488","4.14","65","7.77","1.99","201.97","787.43","157000","100","20250122","1983","20250407","1340"
"1414","ショーボンドホールディングス","東証PR","建設","263872","54745180","2.96","142.5","16.97","2.42","284.11","1991.31","482000","100","20250509","5339","20250407","4439"
"1417","ミライト・ワン","東証PR","建設","220733","91325329","3.52","85","10.33","0.83","234.09","2914.94","241700","100","20250514","2501","20250407","1860"
"1418","インターライフホールディングス","東証ST","建設","6532","17010529","5.21","20","9.93","1.41","38.66","271.55","38400","100","20250414","483","20250117","301"
"1419","タマホーム","東証PR","建設","116940","29455800","4.91","195","82.19","4","48.3","993.61","397000","100","20250430","4020","20250117","3050"
"141A","トライアルホールディングス","東証GR","小売","278399","122373300","0.7","16","26.7","2.27","85.2","1003.21","227500","100","20250312","2900","20250228","1794"
"1420","サンヨーホームズ","東証ST","建設","8619","12620000","3.66","25","6.38","0.5","107.09","1367.23","68300","100","20250310","742","20250407","600"
"1429","日本アクア","東証PR","建設","26765","34760000","4.55","35","11.88","2.5","64.79","307.84","77000","100","20250401","792","20250407","650"
"142A","ジンジブ","東証GR","サービス","1988","2902600","0","0","21.38","5.1","32.04","134.32","68500","100","20250214","693","20250407","430"
"1430","ファーストコーポレーション","東証ST","建設","12655","13363540","4.44","42","6.9","1.22","137.27","777.35","94700","100","20250402","1052","20250117","826"
"1431","Lib_Work","東証GR","建設","16665","24151540","0.93","6.4","36.66","3.54","18.82","195.07","69000","100","20250314","705","20250407","562"
"1433","ベステラ","東証PR","建設","11532","10333199","2.69","30","10.99","2.04","101.57","546.88","111600","100","20250520","1122","20250407","882"
"1434","JESCOホールディングス","東証ST","建設","6078","6954000","3.43","30","5.5","0.89","158.94","984.77","87400","100","20250219","1025","20250407","721"
"1435","robot_home","東証ST","不動産","13396","91127000","1.36","2","12.01","1.41","12.24","104.39","14700","100","20250319","189","20250117","124"
"1436","グリーンエナジー＆カンパニー","東証GR","建設","9332","4284800","0.6","13","24.76","1.76","87.95","1240.65","217800","100","20250214","2648","20250407","2051"
"1438","岐阜造園","東証ST","建設","6064","3242600","1.93","36","18.04","1.51","103.63","1238.35","187000","100","20250110","2000","20250407","1705"
"143A","イシン","東証GR","サービス","1585","1916700","0","0","121.98","1.32","6.78","626.84","82700","100","20250424","1119","20250407","685"
"1443","技研ホールディングス","東証ST","建設","3053","16237977","0.59","1.1","6.36","0.28","29.57","672.39","18800","100","20250328","213","20250407","159"
"1444","ニッソウ","東証GR","建設","2655","1088700","0","0","11.48","1.6","212.43","1521.51","243900","100","20250129","2984","20250407","2035"
"1446","キャンディル","東証ST","建設","5968","10734200","1.44","8","30.2","1.76","18.41","316.57","55600","100","20250325","595","20250407","500"
"1447","SAAFホールディングス","東証GR","建設","6674","24446958","-","-","60.67","2.52","4.5","108.38","27300","100","20250328","360","20250407","258"
"1450","TANAKEN","東証ST","建設","11675","8699600","4.1","55","9.73","1.42","137.95","945.32","134200","100","20250509","1465","20250407","1125"
"145A","L_is_B","東証GR","情報通信","4182","5124800","0","0","36.36","2.4","22.44","340.7","81600","100","20250522","854","20250409","500"
"146A","コロンビア・ワークス","東証ST","不動産","15344","3471400","3.12","138","5.58","1.26","792.19","3518.47","442000","100","20250521","4735","20250407","3235"
"147A","ソラコム","東証GR","情報通信","38561","45153515","0","0","91.83","3.83","9.3","222.78","85400","100","20250212","1384","20250407","686"
"148A","ハッチ・ワーク","東証GR","情報通信","4359","1913600","0","0","21.46","5.2","106.16","437.72","227800","100","20250212","2390","20250407","1011"
"1491","中外鉱業","東証ST","非鉄金属","16226","289747982","-","-","20.44","1.97","2.74","28.39","5600","100","20250304","88","20250106","31"
"149A","シンカ","東証GR","情報通信","3192","3185520","0","0","132.36","3.19","7.57","313.69","100200","100","20250402","1549","20250217","697"
"150A","JSH","東証GR","サービス","2849","5652100","0","0","141.57","1.39","3.56","362.46","50400","100","20250204","685","20250407","433"
"1514","住石ホールディングス","東証ST","鉱業","43023","67222853","2.34","15","19.13","1.37","33.45","468.75","64000","100","20250204","862","20250407","541"
"1515","日鉄鉱業","東証PR","鉱業","111921","16704638","2.73","183","14.64","0.75","457.57","8991.76","670000","100","20250326","7430","20250114","4360"
"1518","三井松島ホールディングス","東証PR","その他製品","62840","13064400","4.78","230","9.3","0.83","517.13","5825.49","481000","100","20250515","5480","20250407","3275"
"151A","ダイブ","東証GR","サービス","7830","8473875","0","0","14.93","3.27","61.87","282.4","92400","100","20250324","1050","20250407","657"
"153A","カウリス","東証GR","情報通信","9234","6390300","0","0","57.3","6.67","25.22","216.73","144500","100","20250513","1838","20250407","688"
