"SC","名称","決算期","決算発表日(本決算)","売上高(百万円)","営業利益(百万円)","経常利益(百万円)","当期利益(百万円)","総資産(百万円)","自己資本(百万円)","資本金(百万円)","有利子負債(百万円)","自己資本比率","ROE","ROA","発行済株式数(更新日時点)"
"1301","極洋","202503","20250512","302681","11079","10857","6740","182125","66515","7527","79374","36.5","10.74","3.93","12078283"
"130A","Veritas_In_Silico","202412","20250213","194","-212","-233","-236","2248","2209","77","-","98.3","-12.47","-12.09","6487114"
"1332","ニッスイ","202503","20250514","886126","31779","35301","25381","634878","277039","30685","209936","43.6","9.65","4.09","312430277"
"1333","マルハニチロ","202503","20250512","1078631","30381","32254","23264","681211","229569","20000","270911","33.7","10.65","3.44","50578837"
"135A","VRAIN_Solution","202502","20250414","2144","594","595","425","1873","1422","10","5","75.9","35.14","25.59","10110000"
"1375","ユキグニファクトリー","202503","20250509","53139","2419","2175","1502","37868","12366","100","16857","32.7","12.61","3.96","39910700"
"1376","カネコ種苗","202405","20240710","61598","1478","1570","1177","48682","24441","1491","-","50.2","4.91","2.47","11772626"
"1377","サカタのタネ","202405","20240712","88677","10495","11124","16162","192717","160082","13500","3636","83.1","10.86","9.15","46410750"
"1379","ホクト","202503","20250514","83104","6628","6953","4441","107620","56808","5500","33066","52.8","7.96","4.21","33359040"
"137A","Cocolive","202405","20240712","1027","215","203","149","792","662","222","-","83.6","32.08","25.6","2965200"
"1380","秋川牧園","202503","20250514","7957","-3","51","28","7126","2182","714","3277","30.6","1.28","0.4","4179000"
"1381","アクシーズ","202406","20240809","25836","1570","1780","1239","24451","20723","452","35","84.8","6.12","5.26","5617500"
"1382","ホーブ","202406","20240808","2519","32","38","20","1123","769","421","7","68.5","2.57","1.79","762000"
"1383","ベルグアース","202410","20241213","7094","22","-16","39","5677","2067","724","2154","36.4","1.9","0.69","1613580"
"1384","ホクリヨウ","202503","20250514","19397","1925","2001","2181","19216","14153","1055","1428","73.7","16.48","11.8","8459000"
"138A","光フードサービス","202411","20250114","2566","217","191","100","2408","1247","411","748","51.8","12.42","4.79","992000"
"1401","エムビーエス","202405","20240712","4356","495","527","403","4408","3472","391","-","78.8","12.04","9.44","7732000"
"1407","ウエストホールディングス","202408","20241015","50390","10597","9956","6757","125897","33231","2020","75335","26.4","20.91","5.41","46027488"
"1414","ショーボンドホールディングス","202406","20240809","85419","19666","20436","14321","130141","103095","5000","-","79.2","14.24","11.35","54745180"
"1417","ミライト・ワン","202503","20250513","578599","27985","27470","17179","537739","261502","7000","113091","48.6","6.69","3.25","91325329"
"1418","インターライフホールディングス","202502","20250414","16940","875","875","705","9438","4214","2979","1748","44.6","17.96","8.02","17010529"
"1419","タマホーム","202405","20240711","247733","12586","12877","8752","89587","38296","4310","9137","42.7","23.92","8.7","29455800"
"141A","トライアルホールディングス","202406","20240813","720441","19161","19789","11439","283627","115684","19777","16144","40.8","12.6","4.72","122356500"
"1420","サンヨーホームズ","202503","20250512","45518","956","1167","673","50553","15321","5945","18407","30.3","4.45","1.39","12620000"
"1429","日本アクア","202412","20250207","30265","2575","2604","1839","24071","10545","1903","4500","43.8","18.53","8.27","34760000"
"142A","ジンジブ","202503","20250515","2400","62","58","-184","2090","389","303","513","18.6","-42.06","-8.62","2902600"
"1430","ファーストコーポレーション","202405","20240712","28485","1453","1422","944","23717","8465","730","5095","35.7","11.52","4.18","13363540"
"1431","Lib_Work","202406","20240809","15435","495","598","387","11741","4570","1321","4305","38.9","9.82","3.76","24151540"
"1433","ベステラ","202501","20250312","10897","373","592","409","11046","4846","843","3751","43.9","9.16","3.73","10227199"
"1434","JESCOホールディングス","202408","20241015","14804","1143","1213","1012","17734","6633","1045","5505","37.4","16.53","5.87","6954000"
"1435","robot_home","202412","20250214","13157","1043","1018","912","13233","9309","10","1320","70.3","10.19","7.22","91127000"
"1436","グリーンエナジー＆カンパニー","202404","20240610","9676","512","502","330","12122","5033","20","4717","41.5","6.75","2.94","4284800"
"1438","岐阜造園","202409","20241114","5198","447","455","340","5294","3820","412","226","72.2","9.26","6.81","3242600"
"143A","イシン","202503","20250509","1393","245","232","177","2201","1202","164","-","54.6","16.48","8.43","1916700"
"1443","技研ホールディングス","202403","20240520","5169","529","640","444","17228","11064","1120","3814","64.2","4.31","2.69","16237977"
"1444","ニッソウ","202407","20240913","4678","56","63","25","2767","1501","349","773","54.2","1.68","0.95","1088700"
"1446","キャンディル","202409","20241114","13224","359","350","137","6134","2799","561","1499","45.6","4.98","2.22","10734200"
"1447","SAAFホールディングス","202503","20250515","28855","333","142","-129","16998","2649","1909","9031","15.6","-4.65","-0.74","24446958"
"1450","TANAKEN","202503","20250509","12286","2328","2341","1576","11383","8223","297","-","72.2","20.72","15.37","8699600"
"145A","L_is_B","202412","20250214","1594","47","18","13","2708","1709","629","758","63.1","0.76","0.48","5124800"
"146A","コロンビア・ワークス","202412","20250213","20981","3892","3519","2238","52186","12101","1576","37648","23.2","23.26","5.32","3471400"
"147A","ソラコム","202503","20250514","8993","656","619","352","13403","10060","2746","936","75.1","3.85","2.89","45153515"
"148A","ハッチ・ワーク","202412","20250212","2367","183","155","130","2430","777","56","521","32","25.29","6.09","1912200"
"1491","中外鉱業","202503","20250515","162345","1417","1238","1218","16525","8182","100","2765","49.5","15.93","8.5","289747982"
"149A","シンカ","202412","20250214","1232","78","48","16","1228","978","383","90","79.6","2.34","1.81","3184720"
"150A","JSH","202503","20250514","3967","176","185","144","2982","2038","1193","289","68.3","7.07","4.83","5624100"
"1514","住石ホールディングス","202503","20250515","10264","48","4711","4195","29047","28024","2501","-","96.5","15.25","13.94","67222853"
"1515","日鉄鉱業","202503","20250512","196766","10257","11437","9019","240179","141488","4176","22386","58.9","6.39","3.84","16704638"
"1518","三井松島ホールディングス","202503","20250513","60574","7615","8448","8645","117627","65337","8571","31763","55.5","13.43","7.95","13064400"
"151A","ダイブ","202406","20240809","12363","542","546","320","4314","1895","315","358","43.9","22.39","8.58","8473875"
"153A","カウリス","202412","20250214","1225","412","388","276","2024","1315","348","250","65","31.26","17.24","6390300"
"155A","情報戦略テクノロジー","202412","20250213","5847","413","396","273","2815","1752","432","323","62.2","22.15","11.74","10368500"
"156A","マテリアルグループ","202408","20241011","5281","810","763","709","3260","2024","117","274","62.1","41.04","24.05","9877197"
"157A","グリーンモンスター","202406","20240814","1957","231","231","156","1850","1472","31","60","79.6","14.78","10.7","3191200"
"1605","INPEX","202412","20250213","2265837","1271789","1298811","427344","7380863","4821806","290809","1063911","65.3","9.46","6.05","1259136067"
"160A","アズパートナーズ","202503","20250514","17917","1305","1350","956","21407","4162","593","9308","19.4","29.23","5.12","3576000"
"165A","SBIレオスひふみ","202503","20250507","11424","2070","2069","1485","10739","6617","332","-","61.6","22.44","13.83","103416800"
"1662","石油資源開発","202503","20250513","389082","62012","64221","81153","681598","527745","14288","-","77.4","15.73","12.09","257000380"
"1663","K＆Oエナジーグループ","202412","20250214","92421","8820","9830","6167","119447","96292","8000","913","80.6","6.61","5.34","28336061"
"166A","タスキホールディングス","202409","20241112","47455","4065","3560","2217","59415","21301","3024","33219","35.9","10.41","3.73","53836723"
"167A","リョーサン菱洋ホールディングス","202503","20250514","359811","8542","7133","9387","230502","131422","15000","37611","57","7.14","4.07","54000000"
"168A","イタミアート","202501","20250314","3605","271","244","165","3645","1204","459","2039","33","20.31","5.35","1470000"
"1711","SDSホールディングス","202503","20250513","4035","-14","-97","-151","4705","608","2165","3514","12.9","-23.69","-3.56","10232773"
"1712","ダイセキ環境ソリューション","202502","20250408","19944","2253","2256","1234","29031","17502","2287","6387","60.3","7.28","4.38","16827120"
"1716","第一カッター興業","202406","20240814","20918","2455","2829","1973","21858","18164","470","225","83.1","11.34","9.09","12000000"
"1717","明豊ファシリティワークス","202503","20250514","5716","1226","1230","910","8027","5576","543","-","69.5","17.1","11.86","12775900"
"1718","美樹工業","202412","20250214","27292","1134","1155","658","32571","15740","764","7107","48.3","4.24","2.1","1153263"
"1719","安藤・間","202503","20250514","425160","35243","34053","26444","371974","171207","17006","27898","46","16.28","7.49","181021197"
"1720","東急建設","202503","20250513","293139","8839","9701","6631","274315","101635","16354","26710","37.1","6.58","2.46","106761205"
"1721","コムシスホールディングス","202503","20250509","614631","45998","46650","30076","539730","373994","10000","3009","69.3","8.17","5.7","133000000"
"1723","日本電技","202503","20250507","43061","9120","9307","6414","52886","39495","470","-","74.7","17.35","12.97","16395000"
"1724","シンクレイヤ","202412","20250214","11711","653","741","547","11352","6146","835","2616","54.1","9.25","4.96","4943780"
"1726","ビーアールホールディングス","202503","20250514","40770","1953","1880","1268","41933","14980","3114","19036","35.7","8.64","3.01","45795000"
"1736","オーテック","202503","20250512","31424","4024","4222","2874","34671","22379","599","1635","64.5","13.63","8.65","17100000"
"173A","ハンモック","202503","20250515","4707","791","828","618","6136","2726","83","-","44.4","25.3","10.56","4360000"
"1743","コーアツ工業","202409","20241111","12061","530","552","593","14980","8954","1319","-","59.8","6.83","4.41","2280000"
"1757","創建エース","202403","20240515","1580","-1491","-1514","-1509","1265","206","10966","853","16.3","-237.26","-109.15","297651756"
"1758","太洋基礎工業","202501","20250314","13482","170","244","229","11530","8842","456","111","76.7","2.61","1.98","2458800"
"175A","Will_Smart","202412","20250214","512","-227","-223","-223","656","410","630","155","62.5","-","-","1469700"
"1762","高松コンストラクショングループ","202503","20250514","346685","11460","10619","6452","269725","137705","5000","30000","51.1","4.75","2.51","34818578"
"1764","工藤建設","202406","20240809","20510","427","397","175","15517","4825","867","3251","31.1","3.67","1.16","1331220"
"1766","東建コーポレーション","202404","20240613","340835","13037","13410","8943","210001","121611","4800","-","57.9","7.55","4.38","13472000"
"1768","ソネック","202503","20250508","15196","658","737","500","12900","9062","723","-","70.2","5.63","4.08","7500000"
"176A","レジル","202406","20240814","38709","2793","2769","1986","17519","8302","358","3794","47.4","27.39","12.23","18932050"
"1770","藤田エンジニアリング","202503","20250513","32646","2951","3123","1787","30294","18984","1029","405","62.7","9.72","5.63","10200000"
"1773","ワイ・ティー・エル・コーポレーション・バーハッド（外国株）","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1776","三井住建道路","202503","20250514","30157","224","270","167","24555","13560","1329","-","55.2","1.23","0.64","9277500"
"177A","コージンバイオ","202503","20250514","5206","991","1065","794","9066","5781","1253","2025","63.8","17.41","10.14","5111600"
"1780","ヤマウラ","202503","20250514","35613","3891","3968","3002","30835","23268","2888","-","75.5","13.72","9.56","21103514"
"1783","fantasista","202409","20241114","8806","701","664","290","14215","6614","6633","5148","46.5","4.48","2.67","170042851"
"1786","オリエンタル白石","202503","20250513","64553","5434","5556","3715","77574","51268","5000","3216","66.1","7.34","4.94","138809400"
"1787","ナカボーテック","202503","20250508","14725","1457","1502","1047","12146","8730","866","-","71.9","12.3","8.92","2602500"
"1788","三東工業社","202406","20240809","7400","199","208","132","4516","3172","849","-","70.2","4.23","2.81","686000"
"1793","大本組","202503","20250513","70092","1814","2110","1788","90139","64862","5296","3000","72","2.71","1.89","26794280"
"1795","マサル","202409","20241114","8947","407","421","277","8394","4940","885","1127","58.9","5.71","3.48","901151"
"1798","守谷商会","202503","20250512","50266","2293","2373","1651","34143","15940","1712","836","46.7","10.87","5.1","2260000"
