"SC","名称","市場","業種","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","VWAP","出来高","出来高率(％)","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率(％)","安値日付","年初来安値","年初来安値乖離率(％)"
"0001","日経平均株価（日経225）","東証","株価指数","20250522","36985.87","-313.11","-0.84","37298.98","36931.89","37100.45","36855.83","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20250522","2717.09","-15.79","-0.58","2732.88","2713.71","2725.27","2707.06","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20250522","4310","-40","-0.92","4350","4315","4335","4295","4312.42","39100","0.32","168616","52057","3650","5050","20250512","4695","8.2","20250407","3615","19.23"
"130A","Veritas_In_Silico","東証GR","医薬品","20250522","668","-10","-1.47","678","660","678","660","666.68","20500","0.32","13667","4333","578","778","20250106","957","30.2","20250407","591","13.03"
"1332","ニッスイ","東証PR","水産・農林","20250522","829.7","-3.4","-0.41","833.1","827.1","834","824","829.38","1077100","0.34","893327","259223","683.1","983.1","20250324","947","12.39","20250407","795","4.36"
"1333","マルハニチロ","東証PR","水産・農林","20250522","2976","-4","-0.13","2980","2980","2988","2968","2978.42","163800","0.32","487865","150523","2480","3480","20250423","3384","12.06","20250117","2874","3.55"
"135A","VRAIN_Solution","東証GR","情報通信","20250522","2280","18","0.8","2262","2216","2320","2187","2244.4","128700","1.27","288854","23051","1762","2762","20250418","2800","18.57","20250407","1481","53.95"
"1375","ユキグニファクトリー","東証PR","水産・農林","20250522","1066","-8","-0.74","1074","1074","1079","1066","1071.37","42600","0.11","45641","42545","774","1374","20250217","1239","13.96","20250407","991","7.57"
"1376","カネコ種苗","東証ST","水産・農林","20250522","1408","-9","-0.64","1417","1416","1417","1408","1413.27","7400","0.06","10458","16576","1117","1717","20250124","1440","2.22","20250407","1310","7.48"
"1377","サカタのタネ","東証PR","水産・農林","20250522","3325","-25","-0.75","3350","3335","3350","3325","3333.59","179000","0.39","596712","154316","2650","4050","20250130","3705","10.26","20250407","3035","9.56"
"1379","ホクト","東証PR","水産・農林","20250522","1775","-13","-0.73","1788","1794","1794","1769","1777.27","33900","0.1","60249","59212","1388","2188","20250219","1950","8.97","20250407","1690","5.03"
"137A","Cocolive","東証GR","情報通信","20250522","1320","-8","-0.6","1328","1345","1345","1315","1324.92","7200","0.24","9539","3921","1028","1628","20250417","1575","16.19","20250407","855","54.39"
"1380","秋川牧園","東証ST","水産・農林","20250522","980","-1","-0.1","981","980","1001","980","983.36","2800","0.07","2753","4095","831","1131","20250422","1250","21.6","20250408","931","5.26"
"1381","アクシーズ","東証ST","水産・農林","20250522","3045","20","0.66","3025","3020","3045","3015","3026.43","700","0.01","2119","17105","2325","3725","20250404","3300","7.73","20250407","2550","19.41"
"1382","ホーブ","東証ST","水産・農林","20250522","-","0","0","1727","-","-","-","-","-","0","-","1316","1327","2127","20250326","2100","100","20250407","1480","-100"
"1383","ベルグアース","東証ST","水産・農林","20250522","2878","-4","-0.14","2882","2881","2881","2870","2875.54","2600","0.16","7476","4644","2382","3385","20250424","3930","26.77","20250513","2830","1.7"
"1384","ホクリヨウ","東証ST","水産・農林","20250522","1429","-11","-0.76","1440","1436","1451","1427","1439.86","14600","0.17","21022","12088","1140","1740","20250418","1736","17.68","20250117","1190","20.08"
"138A","光フードサービス","東証GR","小売","20250522","1966","-14","-0.71","1980","1951","1980","1951","1954.12","1700","0.17","3322","1950","1580","2380","20250114","2500","21.36","20250407","1471","33.65"
"1401","エムビーエス","東証GR","建設","20250522","857","-7","-0.81","864","864","889","857","873.93","22000","0.28","19226","6626","714","1014","20250508","890","3.71","20250409","578","48.27"
"1407","ウエストホールディングス","東証ST","建設","20250522","1570","10","0.64","1560","1600","1611","1563","1580.49","221200","0.48","349604","72263","1160","1960","20250122","1983","20.83","20250407","1340","17.16"
"1414","ショーボンドホールディングス","東証PR","建設","20250522","4820","50","1.05","4770","4770","4849","4754","4816.56","153500","0.28","739341","263872","4070","5470","20250509","5339","9.72","20250407","4439","8.58"
"1417","ミライト・ワン","東証PR","建設","20250522","2417","-5","-0.21","2422","2407","2426","2387","2416.46","228800","0.25","552887","220733","1922","2922","20250514","2501","3.36","20250407","1860","29.95"
"1418","インターライフホールディングス","東証ST","建設","20250522","384","9","2.4","375","375","385","375","381.37","34700","0.2","13234","6532","295","455","20250414","483","20.5","20250117","301","27.57"
"1419","タマホーム","東証PR","建設","20250522","3970","15","0.38","3955","3945","3970","3940","3959.38","86700","0.29","343279","116940","3255","4655","20250430","4020","1.24","20250117","3050","30.16"
"141A","トライアルホールディングス","東証GR","小売","20250522","2275","-52","-2.23","2327","2317","2342","2275","2297.86","788700","0.64","1812325","278399","1827","2827","20250312","2900","21.55","20250228","1794","26.81"
"1420","サンヨーホームズ","東証ST","建設","20250522","683","0","0","683","684","690","683","685.13","4700","0.04","3220","8619","583","783","20250310","742","7.95","20250407","600","13.83"
"1429","日本アクア","東証PR","建設","20250522","770","9","1.18","761","758","770","758","764.48","26200","0.08","20029","26765","611","911","20250401","792","2.78","20250407","650","18.46"
"142A","ジンジブ","東証GR","サービス","20250522","685","100","17.09","585","600","685","595","638.78","132100","4.55","84383","1988","485","685","20250214","693","1.15","20250407","430","59.3"
"1430","ファーストコーポレーション","東証ST","建設","20250522","947","0","0","947","945","950","944","947.01","35200","0.26","33335","12655","797","1097","20250402","1052","9.98","20250117","826","14.65"
"1431","Lib_Work","東証GR","建設","20250522","690","3","0.44","687","688","695","686","691.19","11600","0.05","8018","16665","587","787","20250314","705","2.13","20250407","562","22.78"
"1433","ベステラ","東証PR","建設","20250522","1116","15","1.36","1101","1101","1120","1100","1113.38","36900","0.36","41084","11532","801","1401","20250520","1122","0.53","20250407","882","26.53"
"1434","JESCOホールディングス","東証ST","建設","20250522","874","0","0","874","874","878","868","874.07","5700","0.08","4982","6078","724","1024","20250219","1025","14.73","20250407","721","21.22"
"1435","robot_home","東証ST","不動産","20250522","147","-4","-2.65","151","148","149","147","148.13","549200","0.6","81352","13396","101","201","20250319","189","22.22","20250117","124","18.55"
"1436","グリーンエナジー＆カンパニー","東証GR","建設","20250522","2178","-6","-0.27","2184","2184","2184","2169","2179.17","1800","0.04","3923","9332","1684","2684","20250214","2648","17.75","20250407","2051","6.19"
"1438","岐阜造園","東証ST","建設","20250522","1870","17","0.92","1853","1850","1874","1840","1864.18","1100","0.03","2051","6064","1453","2253","20250110","2000","6.5","20250407","1705","9.68"
"143A","イシン","東証GR","サービス","20250522","827","4","0.49","823","819","840","819","832","4800","0.25","3994","1585","673","973","20250424","1119","26.09","20250407","685","20.73"
"1443","技研ホールディングス","東証ST","建設","20250522","188","-3","-1.57","191","187","190","186","188.04","63700","0.39","11978","3053","141","241","20250328","213","11.74","20250407","159","18.24"
