"SC","指数名","日付","終値","前日比","前日比(％)","前日終値","時価総額(指数用・浮動株ベース)","時価総額前日比(同左)","前日時価総額(同左)","平均時価総額(同左)","基準時価総額","銘柄数","売買単位換算後株式数"
"0000","TOPIX","20250522","2717.09","-15.79","-0.58","2732.88","516486285610954","-3002614272724","519488899883678","30597528768421","19008827784848","1688","257362503521"
"0002","大型","20250522","2669.88","-19.87","-0.74","2689.75","343226073935445","-2554377310593","345780451246038","343226073935445","12855504411051","100","170335642006"
"0003","中型","20250522","2912.51","-7.13","-0.24","2919.64","134178630578497","-328293919778","134506924498275","33628729468295","4606976338631","399","60789424037"
"0004","小型","20250522","4532.1","-13.91","-0.31","4546.01","39081581097012","-119943042353","39201524139365","3286928603617","862328899281","1189","26237437478"
"0028","TOPIX Core30","20250522","1426.68","-11.84","-0.82","1438.52","214116346696525","-1777165709662","215893512406187","713721155655085","150080347394632","30","115825067581"
"0029","TOPIX Large70","20250522","2656.2","-15.99","-0.6","2672.19","129109727238920","-777211600931","129886938839851","184442467484171","48606939750029","70","54510574425"
"002A","TOPIX 100","20250522","1852.02","-13.78","-0.74","1865.8","343226073935445","-2554377310593","345780451246038","343226073935445","185325299505884","100","170335642006"
"002B","TOPIX Mid400","20250522","2767.87","-6.77","-0.24","2774.64","134178630578497","-328293919778","134506924498275","33628729468295","48477168945976","399","60789424037"
"002C","TOPIX 500","20250522","2123.64","-12.83","-0.6","2136.47","477404704513942","-2882671230371","480287375744313","95672285473736","224804668304731","499","231125066043"
"002D","TOPIX Small","20250522","3069.9","-9.42","-0.31","3079.32","39081581097012","-119943042353","39201524139365","3286928603617","12730585059544","1189","26237437478"
"002E","TOPIX 1000","20250522","2571.66","-15.05","-0.58","2586.71","504674175517461","-2953125266867","507627300784328","50977189446208","196244431713436","990","246655817487"
"002F","TOPIX Small500","20250522","1352.09","-3.49","-0.26","1355.58","27269471003519","-70454036496","27339925040015","5553863748171","20168404792798","491","15530751444"
"0040","水産・農林業","20250522","556.96","-2.81","-0.5","559.77","403399868911","-2035028075","405434896986","5762855270155","72429180909","7","284274267"
"0041","鉱業","20250522","564.24","-7.43","-1.3","571.67","1269254586483","-16694246774","1285948833257","25385091729662","224947461393","5","708957286"
"0042","建設業","20250522","1916.69","-6.57","-0.34","1923.26","11842543140498","-40572401769","11883115542267","15582293605918","617863266675","76","4618106256"
"0043","食料品","20250522","2256.37","-4.95","-0.22","2261.32","16174599472005","-35487524368","16210086996373","22781126016908","716841411976","71","5811183452"
"0044","繊維製品","20250522","759.24","-0.98","-0.13","760.22","2074585486097","-2671012786","2077256498883","9878978505222","273245145454","21","1589113072"
"0045","パルプ・紙","20250522","494.77","-2.89","-0.58","497.66","709293508978","-4145229260","713438738238","8866168862222","143359382066","8","865932100"
"0046","化学","20250522","2232.93","-9.17","-0.41","2242.1","24796536139307","-101814164598","24898350303905","20159785479112","11104931243081","123","11689371574"
"0047","医薬品","20250522","3356.69","23.4","0.7","3333.29","21160599757741","147487139524","21013112618217","62237058111004","6304008289522","34","6534747471"
"0048","石油・石炭製品","20250522","1597.04","-24.13","-1.49","1621.17","2394139650424","-36163436141","2430303086565","34201995006061","149910618117","7","3122398897"
"0049","ゴム製品","20250522","4467.58","-35.1","-0.78","4502.68","3310412263520","-26006882640","3336419146160","30094656941090","74098559339","11","774651905"
"004A","ガラス・土石製品","20250522","1292.03","-10.29","-0.79","1302.32","3151718913294","-25114430204","3176833343498","12606875653175","243935867625","25","1068899404"
"004B","鉄鋼","20250522","661.31","-7","-1.05","668.31","4056393122017","-42910680400","4099303802417","17636491834858","613387844011","23","1841719688"
"004C","非鉄金属","20250522","1559.57","13.04","0.84","1546.53","4392970243919","36735578687","4356234665232","21964851219593","281677454840","20","1622851567"
"004D","金属製品","20250522","1440.37","-5.56","-0.38","1445.93","2566146601334","-9904769440","2576051370774","8553822004446","178158374922","30","1264683550"
"004E","機械","20250522","3284.38","-3.32","-0.1","3287.7","29852855693366","-30161850102","29883017543468","25515261276381","908934390622","117","8659711003"
"004F","電気機器","20250522","4688.7","-44.36","-0.94","4733.06","89424669006618","-846136240570","90270805247188","67236593238058","1907237954211","133","27004280964"
